sample_name	Animalia_Chordata_Actinopteri_Argentiniformes_Argentinidae_Argentina_elongata	Animalia_Chordata_Actinopteri_Centrarchiformes_Cheilodactylidae_Cheilodactylus_NA	Animalia_Chordata_Actinopteri_Centrarchiformes_Cheilodactylidae_NA_NA	Animalia_Chordata_Actinopteri_Clupeiformes_Clupeidae_Sprattus_antipodum	Animalia_Chordata_Actinopteri_Gadiformes_Macrouridae_Coelorinchus_aspercephalus	Animalia_Chordata_Actinopteri_Gadiformes_Moridae_NA_NA	Animalia_Chordata_Actinopteri_Gadiformes_Moridae_Pseudophycis_barbata	Animalia_Chordata_Actinopteri_Myctophiformes_Myctophidae_NA_NA	Animalia_Chordata_Actinopteri_NA_Emmelichthyidae_Emmelichthys_nitidus	Animalia_Chordata_Actinopteri_NA_NA_NA_NA	Animalia_Chordata_Actinopteri_Perciformes_Triglidae_Lepidotrigla_papilio	Animalia_Chordata_Actinopteri_Salmoniformes_Salmonidae_Oncorhynchus_environmental	Animalia_Chordata_Actinopteri_Salmoniformes_Salmonidae_Salmo_trutta	Animalia_Chordata_Actinopteri_Scombriformes_Centrolophidae_Seriolella_brama	Animalia_Chordata_Actinopteri_Scombriformes_Gempylidae_Thyrsites_atun	Animalia_Chordata_Actinopteri_Scombriformes_Scombridae_Allothunnus_fallai	Animalia_Chordata_Actinopteri_Scorpaeniformes_Congiopodidae_Congiopodus_NA	Animalia_Chordata_Actinopteri_Syngnathiformes_Syngnathidae_Hippocampus_abdominalis	Animalia_Chordata_Actinopteri_Syngnathiformes_Syngnathidae_NA_NA	Animalia_Chordata_Actinopteri_Trachiniformes_Percophidae_Hemerocoetes_NA	Animalia_Chordata_Actinopteri_Trachiniformes_Pinguipedidae_Parapercis_colias	Animalia_Chordata_Amphibia_Anura_Pipidae_Xenopus_laevis	Animalia_Chordata_Aves_Sphenisciformes_Spheniscidae_Megadyptes_antipodes	Animalia_Chordata_Mammalia_Carnivora_Otariidae_Phocarctos_hookeri	Animalia_Chordata_Mammalia_Primates_Hominidae_Homo_sapiens	Animalia_Chordata_NA_NA_NA_NA_NA	Animalia_NA_NA_NA_NA_NA_NA
caitlins1	3032	0	22	0	0	4257	0	0	6	11	2	3	0	8282	7	5	60	24	0	22278	1431	0	14019	0	17	87	24
caitlins2	0	0	0	0	0	0	0	0	29	103	0	0	0	0	0	0	92	0	0	72	171	0	28532	0	6	0	17
caitlins3	0	0	0	0	0	86	0	0	32	0	0	0	0	242	0	0	0	0	0	3127	26	0	542	0	12	14690	1097
caitlins4	28	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	93	78	16	21403	0	12	144	19
caitlins5	20	0	0	0	39	25	0	51	0	0	0	0	0	15320	0	0	20	0	0	335	35	0	2821	0	15	0	9
caitlins6	219	0	0	11	0	0	10	0	10386	0	0	0	0	49	17	0	80	0	0	1087	482	0	2803	0	21	4708	3
peninsula1	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	3	0	0	0	12279	181	0	1633	0	0	0	7
peninsula2	154	0	20	19	0	35	0	0	138	65	0	0	0	0	0	0	92	0	0	3285	401	0	285	6	29	0	25
peninsula3	71	8104	0	267	0	158	0	0	0	0	0	0	9	66	0	0	4	0	2	8148	7682	0	613	0	0	40	0
peninsula4	34	0	0	0	0	0	0	0	29	0	87	0	0	0	25	0	47	1416	0	1027	122	0	1681	0	37	0	0
peninsula5	607	0	8	0	158	0	0	0	865	150	0	0	0	84	0	0	499	0	0	981	648	0	5309	0	156	37	0
peninsula6	348	23	0	0	0	0	0	0	159	19	0	0	0	0	0	0	152	0	0	404	7465	0	401	0	0	0	0
