
Samples with most reads from https://github.com/ldutoit/YEP_diet/ were selected and mapping is as below

peninsula_1 S95 C6GNB-3968-095-32-01_S95  
peninsula_2 S116 C6GNB-3968-116-32-01_S116
peninsula_3 S112 C6GNB-3968-112-32-01_S112
peninsula_4 S117 C6GNB-3968-117-32-01_S117
peninsula_5 S30 SC6GNB-3968-030-32-01_S30  
peninsula_6 S114 C6GNB-3968-114-32-01_S114


caitlins_1 S109 C6GNB-3968-109-32-01_S109
caitlins_2 S157 C6GNB-3968-157-32-01_S157
caitlins_3 S138 C6GNB-3968-138-32-01_S138
caitlins_4 S51 SC6GNB-3968-051-32-01_S51  
caitlins_5 S6 SC6GNB-3968-006-32-01_S6
caitlins_5 S56 SC6GNB-3968-056-32-01_S56  
